Test file,Test index,Smell,Hint,Where,Term,Sentence
../testcases/image/1436_Post-Installation Tests,0,Misplaced Verification,SUT state declaration,action,"[updater, are, called]",Launch 'software-updater' (precise and earlier version are called update-manager) and install any updates presented
../testcases/image/1436_Post-Installation Tests,0,Misplaced Verification,SUT state declaration,action,"[version, are, called]",Launch 'software-updater' (precise and earlier version are called update-manager) and install any updates presented
../testcases/image/1437_Alternate Install (Entire Disk),0,Misplaced Verification,verification performed,action,Verify,Verify that the pre-selected time zone is correct or select your time zone and press Enter
../testcases/image/1437_Alternate Install (Entire Disk),0,Misplaced Verification,verification performed,action,check,Log in and check the desktop is installed
../testcases/image/1437_Alternate Install (Entire Disk),0,Misplaced Verification,verification performed,action,check,Login and check the system installed correctly
../testcases/image/1438_Alternate Install (Guided),0,Misplaced Verification,verification performed,action,Verify,Verify that the pre-selected time zone is correct or select your time zone and press Enter
../testcases/image/1438_Alternate Install (Guided),0,Misplaced Verification,verification performed,action,check,Log in and check the desktop is installed
../testcases/image/1438_Alternate Install (Guided),0,Misplaced Verification,verification performed,action,check,Login and check the system installed correctly
../testcases/image/1439_Alternate Install (Encryption),0,Misplaced Verification,verification performed,action,Verify,Verify that the pre-selected time zone is correct or select your time zone and press Enter
../testcases/image/1439_Alternate Install (Encryption),0,Misplaced Verification,verification performed,action,check,Log in and check the desktop is installed
../testcases/image/1439_Alternate Install (Encryption),0,Misplaced Verification,verification performed,action,check,Login and check the system installed correctly
../testcases/image/1441_Install (No Network Connection),0,Misplaced Verification,verification performed,action,verify,"At ""Write changes to disks"", verify that everythings is right and select YES"
../testcases/image/1443_Rescue Mode,0,Misplaced Verification,verification performed,action,Verify,Verify or setup the timezone
../testcases/image/1447_Ubiquity Disk Defects,0,Misplaced Verification,verification performed,action,Check,From the main menu select Check disk for defectsand press Enter
../testcases/image/1451_Install (entire disk with lvm and encryption),0,Misplaced Verification,verification performed,action,Check,Check 'Use LVM with the new FAMILY Installation' and 'Encrypt the new FAMILY Installation for security'
../testcases/image/1451_Install (entire disk with lvm and encryption),0,Misplaced Verification,verification performed,action,Check,Check 'Overwrite empty disk space' and click the 'Install Now' button
../testcases/image/1451_Install (entire disk with lvm and encryption),0,Misplaced Verification,verification performed,action,verify,"If there is only one hard disk, skip to step 14 (On the 'Where are you?' screen...). Otherwise, on the 'Installation type' screen verify that the drive selected on the Select drive list corresponds to the drive on the chart (e.g /dev/sda)"
../testcases/image/1451_Install (entire disk with lvm and encryption),0,Misplaced Verification,verification performed,action,Verify,Verify that the full drive space is allocated
../testcases/image/1451_Install (entire disk with lvm and encryption),0,Misplaced Verification,SUT state declaration,action,"[launches, are, taken]",Click on the release notes hyperlink to confirm that a browser launches and you are taken to the release notes web page.
../testcases/image/1454_Dist-Upgrade,0,Misplaced Verification,verification performed,action,Check,"Install all updates available for the release you want to upgrade by running update-manager. Click Check if any update is availabe, and click Install to install them"
../testcases/image/1456_Install (JeOS on ESX),0,Misplaced Verification,verification performed,action,Check,Check that the uname -r returns a -virtual kernel:
../testcases/image/1456_Install (JeOS on ESX),0,Misplaced Verification,verification performed,action,Check,Check that the linux-virtual package is installed for the release or the correct hardware enablement stack:
../testcases/image/1456_Install (JeOS on ESX),0,Misplaced Verification,verification performed,action,Check,Check with the mount command that virtual disk are mounted read-write
../testcases/image/1456_Install (JeOS on ESX),0,Misplaced Verification,verification performed,action,Check,Check that the ubuntu-standard package is not installed:
../testcases/image/1456_Install (JeOS on ESX),0,Misplaced Verification,verification performed,action,Check,Check that the size of the kernel modules are below 40M:
../testcases/image/1456_Install (JeOS on ESX),0,Misplaced Verification,verification performed,action,Check,Check that the size of the installed system is below 800M:
../testcases/image/1457_Install (default + RAID1),0,Misplaced Verification,verification performed,action,check,Boot CD and run the CD self-check (then reboot)
../testcases/image/1457_Install (default + RAID1),1,Misplaced Verification,verification performed,action,check,Boot CD and run the CD self-check (then reboot)
../testcases/image/1457_Install (default + RAID1),2,Misplaced Verification,verification performed,action,check,Boot CD and run the CD self-check (then reboot)
../testcases/image/1458_Install ((JeOS on KVM),0,Misplaced Verification,verification performed,action,Check,Check that the uname -r returns a -generic kernel
../testcases/image/1458_Install ((JeOS on KVM),0,Misplaced Verification,verification performed,action,Check,Check that the linux-virtual package is installed for the release or the correct hardware enablement stack:
../testcases/image/1458_Install ((JeOS on KVM),0,Misplaced Verification,verification performed,action,Check,Check with the mount command that virtual disk are mounted read-write
../testcases/image/1458_Install ((JeOS on KVM),0,Misplaced Verification,verification performed,action,Check,Check that the ubuntu-standard package is not installed:
../testcases/image/1458_Install ((JeOS on KVM),0,Misplaced Verification,verification performed,action,Check,Check that the size of the kernel modules are below 40M:
../testcases/image/1458_Install ((JeOS on KVM),0,Misplaced Verification,verification performed,action,Check,Check that the size of the installed system is below 800M:
../testcases/image/1459_iSCSI Unauthenticated Root Installation,0,Misplaced Verification,verification performed,action,check,This will then reboot the machine log in and check the desktop is installed
../testcases/image/1460_iSCSI Authenticated Root Installation,0,Misplaced Verification,verification performed,action,check,This will then reboot the machine log in and check the desktop is installed
../testcases/image/1461_MAAS (Installer),1,Misplaced Verification,verification performed,action,Verify,Verify or setup the timezone
../testcases/image/1461_MAAS (Installer),1,Misplaced Verification,verification performed,action,verify,"At ""Write changes to disks"", verify that everything is right and select YES"
../testcases/image/1461_MAAS (Installer),1,Misplaced Verification,question as step,action,,Select 'Yes' to the 'Is the system clock set to UTC?
../testcases/image/1464_ARM Headless,0,Misplaced Verification,verification performed,action,verify,"Once logged in, verify that:"
../testcases/image/1464_ARM Headless,0,Misplaced Verification,verification performed,action,Check,Check dmesg for any abnormal messages or errors.
../testcases/image/1464_ARM Headless,0,Misplaced Verification,verification performed,action,Check,Check to make sure the architecture is correct for the image you installed:
../testcases/image/1465_Netboot Install PPC,0,Misplaced Verification,SUT state declaration,action,"[clock, is, set]","Select yes or no, depending on your setup (select no if your clock is set to localtime)"
../testcases/image/1468_Install (upgrade),0,Misplaced Verification,verification performed,action,check,"On the screen Preparing to install FAMILY, note the state of each check mark for the following components"
../testcases/image/1468_Install (upgrade),0,Misplaced Verification,verification performed,action,verify,"Open the Terminal pressing CTRL+ALT+T type ""lsb_release -r"" without the quotes and verify that FAMILY upgraded to the latest release"
../testcases/image/1469_Other Features,0,Misplaced Verification,verification performed,action,Check,Check and uncheck the 'Display password' checkbox
../testcases/image/1470_Install (manual partitioning re-using home partition),0,Misplaced Verification,verification performed,action,Check,Check that / and /home use different partitions
../testcases/image/1470_Install (manual partitioning re-using home partition),0,Misplaced Verification,SUT state declaration,action,"[scheme, is, laid]",Once your partitioning scheme is laid out click on Install Now
../testcases/image/1471_Install (erase and re-install),0,Misplaced Verification,verification performed,action,check,"On the screen Preparing to install FAMILY, note the state of each check mark for the following components"
../testcases/image/1471_Install (erase and re-install),0,Misplaced Verification,verification performed,action,Check,"Check that the 'test' folder created on the first install has disappeard from the desktop, open Firefox and check that in the history tab has no browsing history, then open a Terminal typing CTRL+ALT+T and type 'df -h' in it without quotes, there should be no /home partition"
../testcases/image/1471_Install (erase and re-install),0,Misplaced Verification,verification performed,action,check,"Check that the 'test' folder created on the first install has disappeard from the desktop, open Firefox and check that in the history tab has no browsing history, then open a Terminal typing CTRL+ALT+T and type 'df -h' in it without quotes, there should be no /home partition"
../testcases/image/1494_Nexus7 on screen keyboard,0,Misplaced Verification,verification performed,action,check,"Using the on screen keyboard, enter a few basic commands to sanity check the shell such as 'ls', 'pwd', 'uname -a'"
../testcases/image/1494_Nexus7 on screen keyboard,0,Misplaced Verification,SUT state declaration,action,"[cursor, is, blinking]","If the on screen keyboard is not present, tap inside the terminal window near where the cursor is blinking"
../testcases/image/1497_Install (live session),0,Misplaced Verification,verification performed,action,verify,"If there is only one hard disk, skip to step 10 (On the 'Where are you?' screen...). Otherwise, on the 'Installation type' screen verify that the drive selected on the Select drive list corresponds to the drive on the chart (e.g /dev/sda)"
../testcases/image/1497_Install (live session),0,Misplaced Verification,verification performed,action,Verify,Verify that the full drive space is allocated
../testcases/image/1498_Upgrade (image),0,Misplaced Verification,verification performed,action,Check,Check the box 'Download updates while installing' if a network is available 
../testcases/image/1498_Upgrade (image),0,Misplaced Verification,verification performed,action,verify,"If connected, verify that your timezone is proposed correctly "
../testcases/image/1498_Upgrade (image),0,Misplaced Verification,verification performed,action,Verify,Verify that your pre-upgrade files and installed applications are still present
../testcases/image/1503_Ubuntu Kylin Chinese Calendar,0,Misplaced Verification,verification performed,action,check,Find the indicator icon of Chinese Calendar to check whether it autostart
../testcases/image/1504_Netboot Install (Desktop),0,Misplaced Verification,SUT state declaration,action,"[clock, is, set]","Select Yes or No, depending on your setup (select No if your clock is set to localtime)"
../testcases/image/1513_Ubuntu Kylin Weather Indicator,0,Misplaced Verification,verification performed,action,Check,Check the configured update time interval for the weather information
../testcases/image/1552_EC2CloudImages test,1,Misplaced Verification,verification performed,action,verify,Run 'apt-get update' and verify that an ec2 mirror is used.
../testcases/image/1625_Post-Installation Tests (UbuntuKylin),0,Misplaced Verification,verification performed,action,check,"Start your machine, check the grub options"
../testcases/image/1625_Post-Installation Tests (UbuntuKylin),0,Misplaced Verification,verification performed,action,check,Log in the system and check the default wallpaper as well as the theme.
../testcases/image/1625_Post-Installation Tests (UbuntuKylin),0,Misplaced Verification,verification performed,action,check,"Click the button of Dash, enter the application names to check whether they are preinstalled: Chinese Calendar, Weather Indicator, Youker Assistant, Fcitx and Chromium."
../testcases/image/1634_Kubuntu Localisation Support,0,Misplaced Verification,question as step,action,,"Click on the launcher, are all the entries localized?"
../testcases/image/1634_Kubuntu Localisation Support,0,Misplaced Verification,question as step,action,,"Click on the entry labeled 'System Settings', are all the entries in the new window that appears localized?"
../testcases/image/1634_Kubuntu Localisation Support,0,Misplaced Verification,question as step,action,,"Open the entry marked as 'Locale' in the new window, is the correct language selected in the settings?"
../testcases/image/1634_Kubuntu Localisation Support,0,Misplaced Verification,question as step,action,,"Click the tab labeled 'Numbers', is the correct decimal separator chosen for your region?"
../testcases/image/1634_Kubuntu Localisation Support,0,Misplaced Verification,question as step,action,,"In the same tab, has the correct Digit set been chosen for your region?"
../testcases/image/1634_Kubuntu Localisation Support,0,Misplaced Verification,question as step,action,,"Click the tab labeled 'Money', has the correct currency been chosen for your region?"
../testcases/image/1634_Kubuntu Localisation Support,0,Misplaced Verification,question as step,action,,"Click on the tab labeled 'Date &amp; Time', has the correct time format been chosen for your system?"
../testcases/image/1634_Kubuntu Localisation Support,0,Misplaced Verification,question as step,action,,"Click on the tab labeled 'Other', has the correct measurement system been chosen for your system?"
../testcases/image/1634_Kubuntu Localisation Support,0,Misplaced Verification,question as step,action,,"Click on the 'Overview button to go back to System Settings, and open the entry marked as ""Instant Messaging and VOIP"", is the UI localized?"
../testcases/image/1634_Kubuntu Localisation Support,0,Misplaced Verification,question as step,action,,"Click on the button marked as ""Add Account"" and complete the process to add a IM account, was entire process localized?"
