Test file,Test index,Smell,Hint,Where,Term,Sentence
../testcases/image/1434_Desktop (Xubuntu),3,Unverified Action,,action,,"Go to Applications ->Settings Manager, click on Keyboardand open the Layouttab"
../testcases/image/1434_Desktop (Xubuntu),3,Unverified Action,,action,,Add a few new keyboard layouts
../testcases/image/1434_Desktop (Xubuntu),4,Unverified Action,,action,,"If you installed Xubuntu using English as the default keyboard layout and language, try to add different languages for your system:"
../testcases/image/1434_Desktop (Xubuntu),4,Unverified Action,,action,,Go to Language Support(Applications ->Settings Manager ->Language Support)
../testcases/image/1434_Desktop (Xubuntu),4,Unverified Action,,action,,Press the Install / Remove Languages...
../testcases/image/1434_Desktop (Xubuntu),4,Unverified Action,,action,,"Select as many languages as you like, and install them by pressing the Apply Changesbutton"
../testcases/image/1434_Desktop (Xubuntu),5,Unverified Action,,action,,Go to Applications ->Settings Manager ->Users and Groupsand add a new user
../testcases/image/1434_Desktop (Xubuntu),5,Unverified Action,,action,,"Logout, then log back in as the initial user"
../testcases/image/1434_Desktop (Xubuntu),5,Unverified Action,,action,,Remove the new user
../testcases/image/1434_Desktop (Xubuntu),6,Unverified Action,,action,,Go to Applications ->Settings Manager ->Screensaver
../testcases/image/1434_Desktop (Xubuntu),7,Unverified Action,,action,,Put your machine to sleep (Applications ->Logout ->Suspend)
../testcases/image/1434_Desktop (Xubuntu),9,Unverified Action,,action,,Plug in your printer and run Applications ->System ->Printing
../testcases/image/1434_Desktop (Xubuntu),9,Unverified Action,,action,,"If your printer doesn't show up, add it to the list (click Addand follow the wizard)"
../testcases/image/1436_Post-Installation Tests,0,Unverified Action,,action,,Execute the following commands on the command line:
../testcases/image/1438_Alternate Install (Guided),0,Unverified Action,,action,,Sub test case 1: Repeat the test case and select the minimum size for the partition
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,"On a physical server, disconnect the network cable(s); if running KVM, make sure to pass '-net nic,model=virtio -net user,restrict=y' on the Testdrive setting window"
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Boot up the image
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Choose the desired language
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,"Select ""Install Ubuntu Server"""
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Choose the language
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Select your location
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Configure locales
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,"At configure keyboard page, select NO "
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Select the country of the keyboard
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Select the keyboard layout
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,"The installer will fail to acquire a DHCP address. Accept Continue, and then select Do not configure network at this time"
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Select hostname ubuntu as default
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Insert the name for the new user
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Insert the name for the account
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Choose a password
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Reinsert the password
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,At encrypt request select NO
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Setup the timezone
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,"At partitioning select ""Guided - Use entire disk"""
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Select disk to partition
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,"At ""Write changes to disks"", verify that everythings is right and select YES"
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,"At ""http proxy"" request, let it blank and press enter"
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,"At managing upgrades select ""No automatic updates"""
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,"At Software selection, press ""Enter"""
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Select to install Grub in the master boot record
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Remove the installation media (CDROM or USB key)
../testcases/image/1442_Mythbuntu Frontend,0,Unverified Action,,action,,"Once installation is finished, remove the installation media and reboot."
../testcases/image/1442_Mythbuntu Frontend,0,Unverified Action,,action,,"Once the machine boots up, it should boot into the frontend."
../testcases/image/1443_Rescue Mode,0,Unverified Action,,action,,Boot up the image
../testcases/image/1443_Rescue Mode,0,Unverified Action,,action,,At the main screen press ESC
../testcases/image/1443_Rescue Mode,0,Unverified Action,,action,,"Select ""Rescue a broken system"""
