Test file,Test index,Smell,Hint,Where,Term,Sentence
../testcases/image/1433_Post-installation (Xubuntu),0,Eager Action,multiple actions,action,"['and install', 'would like']",Open Ubuntu Software Center and install applications you would like to use
../testcases/image/1433_Post-installation (Xubuntu),0,Eager Action,multiple actions,action,"['Log', ', shutdown', 'or restart']","Log out, shutdown or restart"
../testcases/image/1433_Post-installation (Xubuntu),0,Eager Action,multiple actions,action,"['Open', 'and write']",Open a text editor and write some text
../testcases/image/1433_Post-installation (Xubuntu),1,Eager Action,multiple actions,action,"['Click', 'and run']",Click the Application Finder icon and run any application from it
../testcases/image/1434_Desktop (Xubuntu),0,Eager Action,multiple actions,action,"[', try', ', Help', '->Contentsand Help', '->Online helpfrom']","In any applications you open during the testing, try to open Help, Help ->Contentsand Help ->Online helpfrom the menu "
../testcases/image/1434_Desktop (Xubuntu),3,Eager Action,multiple actions,action,"['Try', 'and test']",Try to switch between layouts and test in a text editor or the terminal
../testcases/image/1434_Desktop (Xubuntu),5,Eager Action,multiple actions,action,"['Go', 'Groupsand add']",Go to Applications ->Settings Manager ->Users and Groupsand add a new user
../testcases/image/1434_Desktop (Xubuntu),9,Eager Action,multiple actions,action,"[', add', '(click', 'Addand follow']","If your printer doesn't show up, add it to the list (click Addand follow the wizard)"
../testcases/image/1437_Alternate Install (Entire Disk),0,Eager Action,multiple actions,action,"['Verify', 'or select']",Verify that the pre-selected time zone is correct or select your time zone and press Enter
../testcases/image/1437_Alternate Install (Entire Disk),0,Eager Action,multiple actions,action,"['Select', 'and press']",Select the disk to use and press Enter
../testcases/image/1437_Alternate Install (Entire Disk),0,Eager Action,multiple actions,action,"['Log', 'and check']",Log in and check the desktop is installed
../testcases/image/1438_Alternate Install (Guided),0,Eager Action,multiple actions,action,"['Verify', 'or select']",Verify that the pre-selected time zone is correct or select your time zone and press Enter
../testcases/image/1438_Alternate Install (Guided),0,Eager Action,multiple actions,action,"['""drive', 'and use']","Select Guided - resize ""drive details"" and use freed space and press Enter"
../testcases/image/1438_Alternate Install (Guided),0,Eager Action,multiple actions,action,"[': Repeat', 'and select']",Sub test case 1: Repeat the test case and select the minimum size for the partition
../testcases/image/1438_Alternate Install (Guided),0,Eager Action,multiple actions,action,"[': Repeat', 'and select']",Sub test case 2: Repeat the test case and select the maximum size for the partition
../testcases/image/1438_Alternate Install (Guided),0,Eager Action,multiple actions,action,"['Log', 'and check']",Log in and check the desktop is installed
