Test file,Test index,Smell,Hint,Where,Term,Sentence
../testcases/image/1433_Post-installation (Xubuntu),0,Ambiguous Test,adverb of manner,action,physically,"If you set up networking and are physically connected to the Internet, open Firefox and load xubuntu.org"
../testcases/image/1433_Post-installation (Xubuntu),0,Ambiguous Test,adverb of manner,verification,correctly,The applications are installed correctly and appear in the applications menu
../testcases/image/1433_Post-installation (Xubuntu),0,Ambiguous Test,adverb of manner,verification,properly,The session is terminated properly
../testcases/image/1433_Post-installation (Xubuntu),0,Ambiguous Test,verb + indefinite determiner,action,have a,"If you have a USB drive, plug it in"
../testcases/image/1433_Post-installation (Xubuntu),0,Ambiguous Test,verb + indefinite determiner,action,have a,"If you have a DVD or an audio CD, insert it"
../testcases/image/1433_Post-installation (Xubuntu),0,Ambiguous Test,verb + indefinite determiner,action,Open a,Open a text editor and write some text
../testcases/image/1433_Post-installation (Xubuntu),0,Ambiguous Test,verb + indefinite determiner,action,write some,Open a text editor and write some text
../testcases/image/1433_Post-installation (Xubuntu),1,Ambiguous Test,verb + indefinite determiner,action,run any,Click the Application Finder icon and run any application from it
../testcases/image/1434_Desktop (Xubuntu),0,Ambiguous Test,verb + indefinite determiner,verification,are no,Confirm that there are no missing/wrong icons in the applications you tested
../testcases/image/1434_Desktop (Xubuntu),3,Ambiguous Test,verb + indefinite determiner,action,Add a,Add a few new keyboard layouts
../testcases/image/1434_Desktop (Xubuntu),4,Ambiguous Test,adverb of manner,action,successfully,"When they have been successfully installed, log out from the session, and select alternating languages at the login screen, next to the right of the session selector (Xubuntu Session)"
../testcases/image/1434_Desktop (Xubuntu),5,Ambiguous Test,verb + indefinite determiner,action,add a,Go to Applications ->Settings Manager ->Users and Groupsand add a new user
../testcases/image/1434_Desktop (Xubuntu),7,Ambiguous Test,adverb of manner,verification,succesfully,Does it wake up succesfully?
../testcases/image/1434_Desktop (Xubuntu),7,Ambiguous Test,adverb of manner,verification,successfully,Does it fall asleep after that time and does it wake up again successfully?
../testcases/image/1434_Desktop (Xubuntu),9,Ambiguous Test,verb + indefinite determiner,action,print a,Try to print a test page
../testcases/image/1434_Desktop (Xubuntu),10,Ambiguous Test,verb + indefinite determiner,action,pair a,Try to pair a Bluetooth device using the Bluetooth symbol in the panel.
../testcases/image/1434_Desktop (Xubuntu),10,Ambiguous Test,verb + indefinite determiner,action,send a,Try to send a file from your device to your computer and the other way round
../testcases/image/1436_Post-Installation Tests,0,Ambiguous Test,adverb of manner,verification,correctly,"The result correctly lists the architecture of the installation you installed. For example, x86_64 for 64-bit x86 machine."
../testcases/image/1436_Post-Installation Tests,0,Ambiguous Test,adverb of manner,verification,properly,The ubuntu homepage is loaded and displays properly
../testcases/image/1436_Post-Installation Tests,0,Ambiguous Test,adjective,action,earlier,Launch 'software-updater' (precise and earlier version are called update-manager) and install any updates presented
../testcases/image/1436_Post-Installation Tests,0,Ambiguous Test,verb + indefinite determiner,action,install any,Launch 'software-updater' (precise and earlier version are called update-manager) and install any updates presented
../testcases/image/1436_Post-Installation Tests,0,Ambiguous Test,verb + indefinite determiner,action,installed a,"If you installed a non-english version of FAMILY, note the language used on the desktop"
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,adverb of manner,action,correctly,Login and check the system installed correctly
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,adverb of manner,verification,actually,Wait for a while - The install may seem like it has locked at a percentage but is actually working in the background. You can check and see if it is working by switching to tty4 (alt + f4).
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,adjective,verification,stronger,"You should be prompted to confirm ( If you entered a weak password, confirm that you want to keep it or select no and enter a stronger one)."
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,verb + indefinite determiner,action,Add a,Add a hostname for the machine and press Enter
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,verb + indefinite determiner,action,Add a,Add a password and press Enter
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,verb + indefinite determiner,verification,enter a,You should be prompted to enter a password
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,verb + indefinite determiner,verification,entered a,"You should be prompted to confirm ( If you entered a weak password, confirm that you want to keep it or select no and enter a stronger one)."
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,verb + indefinite determiner,verification,enter a,"You should be prompted to confirm ( If you entered a weak password, confirm that you want to keep it or select no and enter a stronger one)."
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,verb + indefinite determiner,verification,see an,You should see an option to select a disk to install on
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,verb + indefinite determiner,verification,select a,You should see an option to select a disk to install on
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,verb + indefinite determiner,verification,see a,You should see a request for http proxy information
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,verb + indefinite determiner,verification,see a,You should see a request to confirm date and time
../testcases/image/1438_Alternate Install (Guided),0,Ambiguous Test,adverb of manner,action,correctly,Login and check the system installed correctly
../testcases/image/1438_Alternate Install (Guided),0,Ambiguous Test,adverb of manner,verification,actually,Wait for a while - The install may seem like it has locked at a percentage but is actually working in the background. You can check and see if it is working by switching to tty4 (alt + f4).
../testcases/image/1438_Alternate Install (Guided),0,Ambiguous Test,adjective,verification,stronger,"You should be prompted to confirm ( If you entered a weak password, confirm that you want to keep it or select no and enter a stronger one)."
../testcases/image/1438_Alternate Install (Guided),0,Ambiguous Test,verb + indefinite determiner,action,Add a,Add a hostname for the machine and press Enter
../testcases/image/1438_Alternate Install (Guided),0,Ambiguous Test,verb + indefinite determiner,action,Add a,Add a password and press Enter
../testcases/image/1438_Alternate Install (Guided),0,Ambiguous Test,verb + indefinite determiner,verification,enter a,You should be prompted to enter a password
../testcases/image/1438_Alternate Install (Guided),0,Ambiguous Test,verb + indefinite determiner,verification,entered a,"You should be prompted to confirm ( If you entered a weak password, confirm that you want to keep it or select no and enter a stronger one)."
../testcases/image/1438_Alternate Install (Guided),0,Ambiguous Test,verb + indefinite determiner,verification,enter a,"You should be prompted to confirm ( If you entered a weak password, confirm that you want to keep it or select no and enter a stronger one)."
../testcases/image/1438_Alternate Install (Guided),0,Ambiguous Test,verb + indefinite determiner,verification,see a,You should see a request for http proxy information
../testcases/image/1438_Alternate Install (Guided),0,Ambiguous Test,verb + indefinite determiner,verification,see a,You should see a request to confirm date and time
../testcases/image/1439_Alternate Install (Encryption),0,Ambiguous Test,adverb of manner,action,correctly,Login and check the system installed correctly
../testcases/image/1439_Alternate Install (Encryption),0,Ambiguous Test,adverb of manner,verification,actually,Wait for a while - The install may seem like it has locked at a percentage but is actually working in the background. You can check and see if it is working by switching to tty4 (alt + f4).
../testcases/image/1439_Alternate Install (Encryption),0,Ambiguous Test,adjective,verification,stronger,"You should be prompted to confirm ( If you entered a weak password, confirm that you want to keep it or select no and enter a stronger one)."
../testcases/image/1439_Alternate Install (Encryption),0,Ambiguous Test,verb + indefinite determiner,action,Add a,Add a hostname for the machine and press Enter
../testcases/image/1439_Alternate Install (Encryption),0,Ambiguous Test,verb + indefinite determiner,action,Add a,Add a password and press Enter
../testcases/image/1439_Alternate Install (Encryption),0,Ambiguous Test,verb + indefinite determiner,action,Enter an,Enter an encryption passphrase and press Enter
