Test file,Test index,Smell,Hint,Where,Term,Sentence
../testcases/image/1433_Post-installation (Xubuntu),0,Conditional Test Logic,dependent clause,action,If,"If you have a USB drive, plug it in"
../testcases/image/1433_Post-installation (Xubuntu),0,Conditional Test Logic,dependent clause,action,If,"If you have a DVD or an audio CD, insert it"
../testcases/image/1433_Post-installation (Xubuntu),0,Conditional Test Logic,dependent clause,action,If,"If you set up networking and are physically connected to the Internet, open Firefox and load xubuntu.org"
../testcases/image/1434_Desktop (Xubuntu),2,Conditional Test Logic,dependent clause,action,If,"If you have access to several methods to connect to Internet, try to connect with them all"
../testcases/image/1434_Desktop (Xubuntu),4,Conditional Test Logic,dependent clause,action,If,"If you installed Xubuntu using English as the default keyboard layout and language, try to add different languages for your system:"
../testcases/image/1434_Desktop (Xubuntu),4,Conditional Test Logic,dependent clause,action,When,"When they have been successfully installed, log out from the session, and select alternating languages at the login screen, next to the right of the session selector (Xubuntu Session)"
../testcases/image/1434_Desktop (Xubuntu),9,Conditional Test Logic,dependent clause,action,If,"If your printer doesn't show up, add it to the list (click Addand follow the wizard)"
../testcases/image/1436_Post-Installation Tests,0,Conditional Test Logic,dependent clause,action,If,"If you installed a non-english version of FAMILY, note the language used on the desktop"
../testcases/image/1442_Mythbuntu Frontend,0,Conditional Test Logic,dependent clause,action,Once,"Once installation is finished, remove the installation media and reboot."
../testcases/image/1442_Mythbuntu Frontend,0,Conditional Test Logic,dependent clause,action,Once,"Once the machine boots up, it should boot into the frontend."
../testcases/image/1444_Mythbuntu Backend & Frontend,0,Conditional Test Logic,dependent clause,action,Once,"Once installation is finished, remove the installation media and reboot."
../testcases/image/1444_Mythbuntu Backend & Frontend,0,Conditional Test Logic,dependent clause,action,Once,"Once the installed system boots, it will boot into the MythTV frontend. Exit the frontend by hitting escape and selecting ""yes, exit now"""
../testcases/image/1444_Mythbuntu Backend & Frontend,0,Conditional Test Logic,dependent clause,verification,When,"When you put in the file path, it should detect the ""File info"" and ""File size"""
../testcases/image/1446_Ubiquity MemTest,0,Conditional Test Logic,dependent clause,action,When,"Boot up the image. When you see the aubergine screen with an icon at the bottom, press any key to get the menu"
../testcases/image/1451_Install (entire disk with lvm and encryption),0,Conditional Test Logic,dependent clause,action,If,"If there is only one hard disk, skip to step 14 (On the 'Where are you?' screen...). Otherwise, on the 'Installation type' screen verify that the drive selected on the Select drive list corresponds to the drive on the chart (e.g /dev/sda)"
../testcases/image/1451_Install (entire disk with lvm and encryption),0,Conditional Test Logic,dependent clause,action,If,"If your system is connected to the network, note the preselected timezone correspond with your timezone and the city indicated in the text box "
../testcases/image/1455_Post-installation (Ubuntu Studio),0,Conditional Test Logic,dependent clause,verification,If,"Create a quick beat and play it - you should hear sound. If you aren't hearing any sound, make sure that connections are accurate in Carla ->Patchbay, and that your hardware levels are not muted."
../testcases/image/1457_Install (default + RAID1),0,Conditional Test Logic,dependent clause,verification,If,"/!\ If you simply disconnect the first disk (disk1) and reconnect the second disk (disk2) - disk 1 disconnected, disk 2 connected - you risk disk corruption; see bug 557429)"
../testcases/image/1459_iSCSI Unauthenticated Root Installation,0,Conditional Test Logic,dependent clause,action,If,"Select Log into iSCSI targets /!\ If the machine is diskless, these steps will appear before selecting the partition scheme"
../testcases/image/1460_iSCSI Authenticated Root Installation,0,Conditional Test Logic,dependent clause,action,If,"Select Log into iSCSI targets /!\ If the machine is diskless, these steps will appear before selecting the partition scheme"
../testcases/image/1461_MAAS (Installer),1,Conditional Test Logic,dependent clause,action,After,"After the machine got restarted, wait for the login screen and enter your user credentials"
../testcases/image/1465_Netboot Install PPC,0,Conditional Test Logic,dependent clause,action,If,"If you know your layout choose Noand select it from the list, otherwise choose yesand follow the prompts to detect the layout."
../testcases/image/1465_Netboot Install PPC,0,Conditional Test Logic,dependent clause,action,If,"If you have a http proxy type its details now, otherwise just press enter."
../testcases/image/1468_Install (upgrade),0,Conditional Test Logic,dependent clause,action,If,"If your system is connected to the network, note the preselected timezone correspond with your timezone and the city indicated in the text box "
../testcases/image/1468_Install (upgrade),0,Conditional Test Logic,dependent clause,action,If,"If your system is connected to the network, note the preselected timezone corresponds with your timezone and the city indicated in the text box "
../testcases/image/1470_Install (manual partitioning re-using home partition),0,Conditional Test Logic,dependent clause,action,Once,Once your partitioning scheme is laid out click on Install Now
../testcases/image/1470_Install (manual partitioning re-using home partition),0,Conditional Test Logic,dependent clause,action,If,"If your system is connected to the network, note the preselected timezone correspond with your timezone and the city indicated in the text box "
../testcases/image/1471_Install (erase and re-install),0,Conditional Test Logic,dependent clause,action,Once,Once you have you partitioning scheme laid out and are happy click on Install Now
../testcases/image/1471_Install (erase and re-install),0,Conditional Test Logic,dependent clause,action,If,"If your system is connected to the network, note the preselected timezone correspond with your timezone and the city indicated in the text box "
