Test file,Test index,Smell,Hint,Where,Term,Sentence
../testcases/image/1433_Post-installation (Xubuntu),0,Misplaced Action,,verification,Confirm,Confirm that the page loads
../testcases/image/1434_Desktop (Xubuntu),0,Misplaced Action,,verification,Confirm,Confirm that there are no missing/wrong icons in the applications you tested
../testcases/image/1434_Desktop (Xubuntu),3,Misplaced Action,,verification,Confirm,Confirm that you are able to switch between keyboard layouts
../testcases/image/1434_Desktop (Xubuntu),4,Misplaced Action,,verification,Confirm,Confirm that the main menus and outputs in the desktop are translated
../testcases/image/1434_Desktop (Xubuntu),8,Misplaced Action,,verification,Confirm,Confirm you are able to read files from it
../testcases/image/1437_Alternate Install (Entire Disk),0,Misplaced Action,,verification,Wait,Wait for a while - The install may seem like it has locked at a percentage but is actually working in the background. You can check and see if it is working by switching to tty4 (alt + f4).
../testcases/image/1438_Alternate Install (Guided),0,Misplaced Action,,verification,Wait,Wait for a while - The install may seem like it has locked at a percentage but is actually working in the background. You can check and see if it is working by switching to tty4 (alt + f4).
../testcases/image/1439_Alternate Install (Encryption),0,Misplaced Action,,verification,Wait,Wait for a while - The install may seem like it has locked at a percentage but is actually working in the background. You can check and see if it is working by switching to tty4 (alt + f4).
../testcases/image/1443_Rescue Mode,0,Misplaced Action,,verification,Ensure,Ensure that changes have been made and that there is a new file created
../testcases/image/1443_Rescue Mode,0,Misplaced Action,,verification,Ensure,Ensure that chroot works and that files are listed in both enviroments
../testcases/image/1443_Rescue Mode,0,Misplaced Action,,verification,Ensure,Ensure the system boots as expected
../testcases/image/1443_Rescue Mode,0,Misplaced Action,,verification,Choose,Choose your new root file system and press Enter
../testcases/image/1446_Ubiquity MemTest,0,Misplaced Action,,verification,Ensure,Ensure that the system restarts
../testcases/image/1455_Post-installation (Ubuntu Studio),0,Misplaced Action,,verification,Start,Start Jack and confirm it runs properly (DSP shows a percentage). Then stop jack to confirm it closes properly (DSP shows 0%). Finish by starting Jack and keeping it on for the duration of this test.
../testcases/image/1455_Post-installation (Ubuntu Studio),0,Misplaced Action,,verification,Start,Start Carla and keep it around for your Patchbay. 
../testcases/image/1455_Post-installation (Ubuntu Studio),0,Misplaced Action,,verification,Create,"Create a quick beat and play it - you should hear sound. If you aren't hearing any sound, make sure that connections are accurate in Carla ->Patchbay, and that your hardware levels are not muted."
../testcases/image/1455_Post-installation (Ubuntu Studio),0,Misplaced Action,,verification,See,See http://help.ubuntu.com/community/UbuntuStudio/ProAudioIntro for more info on audio on Ubuntu Studio if you're having trouble. 
../testcases/image/1456_Install (JeOS on ESX),0,Misplaced Action,,verification,uname,uname -r
../testcases/image/1457_Install (default + RAID1),0,Misplaced Action,,verification,Reconnect,Reconnect the second disk (disk2) - both disks now connected.
../testcases/image/1457_Install (default + RAID1),0,Misplaced Action,,verification,Note,"Note that this may fail with a message requiring you to zero the superblock first, this is a result of an added check in mdadm 3.2, and should only happen on precise or later (see bug 943397)."
../testcases/image/1457_Install (default + RAID1),0,Misplaced Action,,verification,make,"make sure that all disk arrays are synchronized before proceeding, if the array is doing a full re-sync, it may take a few minutes, use"
../testcases/image/1457_Install (default + RAID1),0,Misplaced Action,,verification,Poweroff,Poweroff the system.
../testcases/image/1457_Install (default + RAID1),0,Misplaced Action,,verification,Reconnect,Reconnect the first disk (so both are now connected)
../testcases/image/1457_Install (default + RAID1),0,Misplaced Action,,verification,Say,Say yes
../testcases/image/1457_Install (default + RAID1),0,Misplaced Action,,verification,Say,Say yes
../testcases/image/1457_Install (default + RAID1),0,Misplaced Action,,verification,Reconnect,Reconnect the first disk (so both are now connected)
../testcases/image/1457_Install (default + RAID1),0,Misplaced Action,,verification,Add,Add the missing drives back to the RAIDs:
../testcases/image/1457_Install (default + RAID1),1,Misplaced Action,,verification,Reconnect,Reconnect the first disk (so both are now connected)
../testcases/image/1457_Install (default + RAID1),1,Misplaced Action,,verification,Say,Say yes
../testcases/image/1457_Install (default + RAID1),1,Misplaced Action,,verification,Say,Say yes
../testcases/image/1457_Install (default + RAID1),1,Misplaced Action,,verification,Reconnect,Reconnect the first disk (so both are now connected)
../testcases/image/1457_Install (default + RAID1),1,Misplaced Action,,verification,Add,Add the missing drives back to the RAIDs:
../testcases/image/1457_Install (default + RAID1),2,Misplaced Action,,verification,Reconnect,Reconnect the first disk (so both are now connected)
../testcases/image/1457_Install (default + RAID1),2,Misplaced Action,,verification,Say,Say yes
../testcases/image/1457_Install (default + RAID1),2,Misplaced Action,,verification,Say,Say yes
../testcases/image/1457_Install (default + RAID1),2,Misplaced Action,,verification,Reconnect,Reconnect the first disk (so both are now connected)
../testcases/image/1457_Install (default + RAID1),2,Misplaced Action,,verification,Add,Add the missing drives back to the RAIDs:
../testcases/image/1458_Install ((JeOS on KVM),0,Misplaced Action,,verification,uname,uname -r
../testcases/image/1461_MAAS (Installer),9,Misplaced Action,,verification,Enter,Enter the ip address of the configured MAAS server
../testcases/image/1461_MAAS (Installer),9,Misplaced Action,,verification,Leave,Leave blank or enter a name
../testcases/image/1503_Ubuntu Kylin Chinese Calendar,3,Misplaced Action,,verification,Note,Note:The schedule information on the main window does not update in real time. It will be updated when we click the button for that date
../testcases/image/1611_Live Session Persistence,0,Misplaced Action,,verification,Provide,Provide password if requested. Pausing at this point should not cause an error
../testcases/image/1611_Live Session Persistence,0,Misplaced Action,,verification,Provide,Provide password if requested. Pausing at this point should not cause an error
../testcases/image/1628_Xubuntu Post-install,1,Misplaced Action,,verification,Confirm,Confirm they are listed in the file manager
../testcases/image/1628_Xubuntu Post-install,1,Misplaced Action,,verification,Confirm,Confirm you are able to read files from it
../testcases/image/1634_Kubuntu Localisation Support,0,Misplaced Action,,verification,Click,"Click on the tab labelled ""General"", are all labels localized?"
